State,District,Reporting_Offices,Aggregate_Deposit,Gross_Bank_Credit
Maharashtra,Dhule,159.0,13705.5921,10568.1711
Maharashtra,Gadchiroli,79.0,5943.3357,2037.9481
Maharashtra,Gondia,125.0,8490.0585,4321.9241
Maharashtra,Hingoli,82.0,4302.1435,4219.5491
Maharashtra,Jalgaon,405.0,29887.9695,21826.5122
Maharashtra,Jalna,134.0,9011.2354,10641.1466
Maharashtra,Kolhapur,479.0,38519.576,58189.2726
Maharashtra,Latur,206.0,14840.4366,14751.6251
Maharashtra,Mumbai,1021.0,2213293.9121,1987973.2779
Maharashtra,Nagpur,802.0,139901.1079,82218.1347
Maharashtra,Nanded,244.0,18133.8839,16957.8462
Maharashtra,Nandurbar,91.0,6991.602,4647.8374
Maharashtra,Nashik,703.0,91390.0628,70503.1013
Maharashtra,Palghar,343.0,41278.3825,23739.0813
Maharashtra,Parbhani,123.0,8568.6456,8638.5883
Maharashtra,Pune,1888.0,581374.8802,433865.2949
Maharashtra,Raigad,520.0,63692.3773,42161.7007
Maharashtra,Ratnagiri,258.0,15887.9337,8985.0444
Maharashtra,Sangli,325.0,24876.5164,19445.1441
Maharashtra,Satara,343.0,25376.1033,18324.1403
Maharashtra,Sindhudurg,159.0,9697.5143,3949.139
Maharashtra,Solapur,431.0,33909.4464,30566.5872
Maharashtra,Thane,1197.0,344867.8036,200413.988
Maharashtra,Unknown Districts Of India,1498.0,1258677.4745,1798377.5782
Maharashtra,Wardha,173.0,12746.6436,10422.8035
Maharashtra,Washim,98.0,4477.8692,4822.5214
Maharashtra,Yavatmal,224.0,17406.9012,11549.779
Manipur,Bishnupur,20.0,459.0689,618.0533
Manipur,Chandel,4.0,153.6313,217.4297
Manipur,Churachandpur,22.0,1343.0315,1060.3822
Manipur,Imphal East,36.0,1724.6381,1497.3803
Manipur,Imphal West,70.0,10336.964,6574.0298
Manipur,Jiribam,4.0,146.4243,53.7534
Manipur,Kakching,11.0,267.7234,401.2997
Manipur,Kamjong,3.0,37.316,31.4674
Manipur,Kangpokpi,8.0,365.413,333.0105
Manipur,Noney,7.0,53.9877,43.6119
Manipur,Senapati,24.0,636.9646,556.1983
Manipur,Tamenglong,5.0,159.1401,118.214
Manipur,Tengnoupal,7.0,136.5285,167.4977
Manipur,Thoubal,21.0,582.543,935.325
Manipur,Ukhrul,9.0,402.3512,257.8074
Meghalaya,East Garo Hills,12.0,523.9614,281.9262
Meghalaya,East Jaintia Hills,17.0,1008.8325,227.3467
Meghalaya,East Khasi Hills,168.0,26189.6451,8618.2161
Meghalaya,Eastern West Khasi Hills,10.0,421.4274,141.7845
Meghalaya,North Garo Hills,11.0,430.1229,282.7376
Meghalaya,Ri Bhoi,43.0,2239.9298,2674.0982
Meghalaya,South Garo Hills,7.0,264.1066,152.7827
Meghalaya,South West Garo Hills,12.0,379.224,258.9795
Meghalaya,South West Khasi Hills,10.0,385.8782,178.5543
Meghalaya,West Garo Hills,35.0,2680.4182,1395.3948
Meghalaya,West Jaintia Hills,42.0,2533.7064,743.8602
Meghalaya,West Khasi Hills,19.0,721.6397,285.3267
Mizoram,Aizawl,110.0,12597.4653,5493.8011
Mizoram,Champhai,16.0,553.8628,322.9423
Mizoram,Hnahthial,4.0,180.0311,112.3777
Mizoram,Khawzawl,8.0,199.8118,150.3384
Mizoram,Kolasib,24.0,799.2211,448.9429
Mizoram,Lawngtlai,11.0,460.4959,553.2848
Mizoram,Lunglei,22.0,1130.0706,774.8653
Mizoram,Mamit,12.0,367.5196,259.1154
Mizoram,Saitual,9.0,290.5061,165.0562
Mizoram,Serchhip,16.0,511.8277,394.8388
Mizoram,Siaha,6.0,371.4414,311.327
Nagaland,Chumoukedima,23.0,1099.4233,792.3081
Nagaland,Dimapur,59.0,6354.8526,3461.069
Nagaland,Kiphire,3.0,94.9969,183.042
Nagaland,Kohima,53.0,8416.498,2065.8157
Nagaland,Longleng,3.0,105.2169,142.9413
Nagaland,Mokokchung,23.0,866.5774,804.8891
Nagaland,Mon,16.0,380.5201,406.1254
Nagaland,Peren,5.0,181.0977,236.8408
Nagaland,Phek,5.0,220.3692,293.7671
Nagaland,Tuensang,6.0,187.6874,385.4563
Nagaland,Wokha,13.0,378.4659,370.1348
Nagaland,Zunheboto,12.0,289.3471,414.7284
Odisha,Anugul,191.0,19650.278,8230.3093
Odisha,Balangir,189.0,9513.7807,5563.0505
Odisha,Baleshwar,276.0,19328.1103,9665.4614
Odisha,Bargarh,182.0,8242.4608,5505.2063
Odisha,Bhadrak,164.0,9794.874,5416.3888
Odisha,Boudh,48.0,1930.982,1254.4341
Odisha,Cuttack,478.0,43318.7545,20742.1945
Odisha,Deogarh,41.0,2055.3024,716.7778
Odisha,Dhenkanal,149.0,9656.8225,3845.6922
Odisha,Gajapati,62.0,3289.196,1321.4668
Odisha,Ganjam,450.0,32070.684,16983.0356
Odisha,Jagatsinghapur,166.0,17877.2297,4612.2403
Odisha,Jajapur,230.0,16551.0318,8500.6216
Odisha,Jharsuguda,104.0,8702.7271,4492.181
Odisha,Kalahandi,162.0,6818.6002,4250.4356
Odisha,Kandhamal,74.0,3608.3343,1646.9839
Odisha,Kendrapara,143.0,9695.6783,3440.5922
Odisha,Kendujhar,216.0,25641.732,7275.576
Odisha,Khordha,752.0,205327.1065,110260.9537
Odisha,Koraput,142.0,9301.1926,4733.7477
Odisha,Malkangiri,62.0,2743.8453,1185.942
Odisha,Mayurbhanj,293.0,17539.8795,6741.5618
Odisha,Nabarangpur,88.0,3573.0899,2030.6558
Odisha,Nayagarh,133.0,5870.155,3672.3494
Odisha,Nuapada,75.0,2892.6496,1544.4445
Odisha,Puri,241.0,15577.6834,6578.116
Odisha,Rayagada,113.0,6154.9891,2784.7476
Odisha,Sambalpur,208.0,31324.0498,10820.6105
Odisha,Sonepur,82.0,3221.0739,1851.7986
Odisha,Sundargarh,277.0,32652.8193,15411.2757
Puducherry,Karaikal,53.0,3489.9447,3087.5089
Puducherry,Mahe,15.0,2111.1214,794.6263
Puducherry,Pondicherry,206.0,26789.546,19101.5975
Puducherry,Yanam,12.0,536.7956,709.6388
Punjab,Amritsar,558.0,63272.8663,32315.8831
Punjab,Barnala,131.0,7583.7699,5363.9439
Punjab,Bathinda,331.0,22102.8224,21407.1116
Punjab,Faridkot,134.0,9386.5576,6384.035
Punjab,Fatehgarh Sahib,161.0,11010.8052,9289.1149
Punjab,Fazilka,171.0,9350.6717,9774.5104
Punjab,Ferozepur,177.0,11606.5929,10774.6853
Punjab,Gurdaspur,297.0,27092.6732,10596.6044
Punjab,Hoshiarpur,396.0,44877.4079,12154.1882
Punjab,Jalandhar,762.0,98736.8483,34200.1278
Punjab,Kapurthala,273.0,32571.9914,8302.4762
Punjab,Ludhiana,944.0,110365.5662,95128.8749
Punjab,Malerkotla,75.0,6315.2566,2887.6527
Punjab,Mansa,131.0,5750.9428,6737.3373
Punjab,Moga,222.0,15979.6665,8151.9604
Punjab,Pathankot,145.0,14348.7739,5542.5761
Punjab,Patiala,451.0,48275.6248,30366.1895
Punjab,Rupnagar,160.0,15059.1986,5426.8709
Punjab,S.A.S Nagar,497.0,61872.5716,45004.2298
Punjab,Sangrur,253.0,16517.4763,12244.5423
Punjab,Shahid Bhagat Singh Nagar,177.0,17227.9731,3775.7555
Punjab,Sri Muktsar Sahib,179.0,8695.327,8905.1632
Punjab,Tarn Taran,167.0,10828.7029,6506.3126
Rajasthan,Ajmer,270.0,32073.9577,22217.1657
Rajasthan,Alwar,230.0,19114.6064,14907.4663
Rajasthan,Anoopgarh,102.0,3630.3371,6561.0067
Rajasthan,Balotra,84.0,4997.8291,4896.6535
Rajasthan,Banswara,151.0,7794.8955,6108.1531
Rajasthan,Baran,132.0,6048.0064,6082.4779
Rajasthan,Barmer,99.0,6282.8271,6617.2917
Rajasthan,Beawar,134.0,7544.5064,5895.8535
Rajasthan,Bharatpur,138.0,11594.53,7955.3744
Rajasthan,Bhilwara,221.0,16894.9114,25696.7967
Rajasthan,Bikaner,334.0,23286.021,23788.4171
Rajasthan,Bundi,136.0,6334.8862,6671.1032
Rajasthan,Chittorgarh,202.0,12494.2654,10768.1105
Rajasthan,Churu,227.0,12221.2914,12413.3044
Rajasthan,Dausa,160.0,8777.8818,6686.3212
Rajasthan,Deeg,60.0,3111.6652,2659.2674
Rajasthan,Dholpur,70.0,4540.5985,2979.5044
Rajasthan,Didwana Kuchaman,141.0,7391.158,6053.8586
Rajasthan,Dudu,58.0,2220.5187,3258.7952
Rajasthan,Dungarpur,123.0,7498.7943,4255.6977
Rajasthan,Ganganagar,261.0,14194.2817,18688.3213
Rajasthan,Gangapurcity,83.0,4238.5125,3159.3409
Rajasthan,Hanumangarh,247.0,9788.706,18128.6441
Rajasthan,Jaipur,1056.0,219406.4292,189127.1676
Rajasthan,Jaisalmer,79.0,3445.8185,4607.4569
Rajasthan,Jalore,117.0,5673.3276,4120.539
Rajasthan,Jhalawar,133.0,5987.9247,6952.1402
Rajasthan,Jhunjhunu,217.0,15257.5892,11833.6462
Rajasthan,Jodhpur,285.0,46056.823,35841.4224
Rajasthan,Karauli,81.0,4912.075,3152.0128
Rajasthan,Kekri,71.0,3092.6455,3766.6883
Rajasthan,Khairthal-Tijara,151.0,11770.9023,12147.9815
Rajasthan,Kota,307.0,34488.2697,25410.9635
Rajasthan,Kotputli-Behror,164.0,9527.6445,8534.4599
Rajasthan,Nagaur,158.0,7108.2814,8524.0286
Rajasthan,Neem Ka Thana,177.0,8797.9564,7473.0903
Rajasthan,Pali,221.0,12888.6896,8940.8276
Rajasthan,Phalodi,51.0,1960.3893,3124.9823
Rajasthan,Pratapgarh,69.0,2799.4898,3260.2518
Rajasthan,Rajsamand,145.0,8752.4388,5400.8636
Rajasthan,Sanchor,46.0,1772.9314,1760.4581
Rajasthan,Sawai Madhopur,104.0,5274.1831,4253.1807
Rajasthan,Shahpura,54.0,2724.2092,2967.712
Rajasthan,Sikar,224.0,14076.9577,15233.5442
Rajasthan,Sirohi,124.0,8447.5261,3974.3885
Rajasthan,Tonk,166.0,7900.9898,8599.4933
Rajasthan,Udaipur,370.0,48622.6404,30808.5233
Rajasthan,Unknown Districts Of India,425.0,18615.3158,20626.1646
Sikkim,Gangtok,85.0,11933.1089,4826.575
Sikkim,Gyalshing,15.0,606.9182,262.4354
Sikkim,Mangan,16.0,410.6063,282.8169
Sikkim,Namchi,35.0,1737.9154,945.5866
Sikkim,Pakyong,23.0,1352.6168,650.1641
Sikkim,Soreng,8.0,249.1325,98.9398
Tamil Nadu,Ariyalur,96.0,3187.8509,8568.6756
Tamil Nadu,Chengalpattu,541.0,62090.6596,53881.3242
Tamil Nadu,Chennai,2122.0,694143.1871,679452.685
Tamil Nadu,Coimbatore,1006.0,125600.981,135811.4123
Tamil Nadu,Cuddalore,351.0,19111.4314,27300.1395
Tamil Nadu,Dharmapuri,170.0,6176.5644,16923.2866
Tamil Nadu,Dindigul,321.0,15530.4612,25527.4034
Tamil Nadu,Erode,456.0,31700.7645,42912.8479
Tamil Nadu,Kallakurichi,149.0,4863.4068,13103.5226
Tamil Nadu,Kanchipuram,247.0,22176.8235,21642.5507
Tamil Nadu,Kanniyakumari,342.0,21394.0574,35437.4741
Tamil Nadu,Karur,171.0,8995.0203,17308.2661
Tamil Nadu,Krishnagiri,283.0,16481.1407,30281.9429
Tamil Nadu,Madurai,568.0,43863.0,59934.1868
Tamil Nadu,Mayiladuthurai,131.0,6765.653,7688.1174
Tamil Nadu,Nagapattinam,94.0,4150.4158,5452.4006
Tamil Nadu,Namakkal,304.0,18865.4757,29151.504
Tamil Nadu,Perambalur,85.0,3478.6943,7816.9539
Tamil Nadu,Pudukkottai,229.0,8845.9486,16862.3333
Tamil Nadu,Ramanathapuram,166.0,6638.4337,13052.6323
Tamil Nadu,Ranipet,159.0,7443.9559,10811.5769
Tamil Nadu,Salem,499.0,40405.7045,51486.2339
Tamil Nadu,Sivaganga,276.0,12610.7901,18504.2582
Tamil Nadu,Tenkasi,207.0,8948.2458,14261.4441
Tamil Nadu,Thanjavur,411.0,24536.9606,32475.8993
Tamil Nadu,The Nilgiris,114.0,7929.496,6073.4177
Tamil Nadu,Theni,196.0,8059.7557,18531.8127
Tamil Nadu,Thiruvallur,375.0,38789.4042,32794.7322
Tamil Nadu,Thiruvarur,188.0,7833.6498,11339.6254
Tamil Nadu,Tiruchirappalli,503.0,44171.3675,46665.5247
Tamil Nadu,Tirunelveli,303.0,20810.443,24359.2138
Tamil Nadu,Tirupathur,121.0,5131.9057,9361.5957
Tamil Nadu,Tiruppur,456.0,33403.0302,58140.2053
Tamil Nadu,Tiruvannamalai,263.0,11076.0831,21692.927
Tamil Nadu,Tuticorin,280.0,20441.7166,23365.491
Tamil Nadu,Vellore,208.0,18755.64,17214.8907
Tamil Nadu,Villupuram,229.0,8312.5596,16060.1679
Tamil Nadu,Virudhunagar,273.0,20305.6726,23510.5896
Telangana,Adilabad,103.0,4876.0805,6849.5203
Telangana,Bhadradri Kothagudem,159.0,7264.7748,9052.7349
Telangana,Hanumakonda,182.0,17817.6787,24737.5497
Telangana,Hyderabad,1263.0,472948.9902,493405.6474
Telangana,Jagitial,119.0,5832.4772,7111.0612
Telangana,Jangoan,59.0,1963.8564,5197.7147
Telangana,Jayashankar Bhupalapally,44.0,1733.8446,2084.8463
Telangana,Jogulamba Gadwal,56.0,2000.7815,4256.002
Telangana,Kamareddy,105.0,3707.1726,6907.9307
Telangana,Karimnagar,203.0,13155.1699,15824.884
Telangana,Khammam,224.0,10563.6147,20365.6501
Telangana,Kumuram Bheem Asifabad,48.0,2279.3291,1847.6754
Telangana,Mahabubabad,67.0,2131.2924,5457.9276
Telangana,Mahabubnagar,134.0,6125.0968,10865.276
Telangana,Mancherial,118.0,7804.479,7631.1532
Telangana,Medak,99.0,3921.9752,5849.024
Telangana,Medchal Malkajgiri,747.0,134449.4653,143806.6182
Telangana,Mulugu,34.0,1044.3327,1772.8449
Telangana,Nagarkurnool,88.0,2882.0269,6153.7244
Telangana,Nalgonda,224.0,8744.8735,20259.2178
Telangana,Narayanpet,49.0,1569.2719,2931.4479
Telangana,Nirmal,86.0,3333.2236,6600.8501
Telangana,Nizamabad,263.0,10576.0882,19058.0633
Telangana,Peddapalli,106.0,6367.8713,6342.795
Telangana,Rajanna Sircilla,59.0,2968.0165,3464.3942
Telangana,Ranga Reddy,598.0,90182.3057,54849.5848
Telangana,Sangareddy,238.0,16011.1334,28040.8588
Telangana,Siddipet,145.0,5509.5731,9708.3613
Telangana,Suryapet,152.0,4764.9103,12996.3251
Telangana,Vikarabad,98.0,3447.1818,5821.5628
Telangana,Wanaparthy,57.0,2007.5771,4176.9867
Telangana,Warangal,102.0,6003.3073,7516.5037
Telangana,Yadadri Bhuvanagiri,100.0,3583.0669,6962.3106
The Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,65.0,8512.3297,5116.8478
The Dadra and Nagar Haveli and Daman and Diu,Daman,33.0,5426.9995,2296.3042
The Dadra and Nagar Haveli and Daman and Diu,Diu,14.0,3025.6625,211.5762
Tripura,Dhalai,50.0,1479.626,1055.0499
Tripura,Gomati,65.0,2457.2711,1621.6861
Tripura,Khowai,33.0,1180.0681,646.1517
Tripura,North Tripura,75.0,3140.1203,1802.1049
Tripura,Sepahijala,55.0,1806.6342,917.1495
Tripura,South Tripura,70.0,2752.3004,1453.3195
Tripura,Unakoti,23.0,664.743,467.0589
Tripura,West Tripura,255.0,28658.8849,10261.7413
Uttar Pradesh,Agra,525.0,63094.0119,41691.5125
Uttar Pradesh,Aligarh,326.0,32677.4711,16245.9578
Uttar Pradesh,Ambedkar Nagar,184.0,10389.7678,4887.2721
Uttar Pradesh,Amethi,197.0,10242.3192,4761.5426
Uttar Pradesh,Amroha,199.0,8107.1076,6007.2558
Uttar Pradesh,Auraiya,105.0,6433.8958,2693.0189
Uttar Pradesh,Ayodhya,243.0,23248.9843,7719.3345
Uttar Pradesh,Azamgarh,344.0,24082.9433,8305.6701
Uttar Pradesh,Baghpat,133.0,8252.0849,3718.1663
Uttar Pradesh,Bahraich,214.0,10247.602,7254.1966
Uttar Pradesh,Ballia,252.0,17301.0905,5474.8115
Uttar Pradesh,Balrampur,145.0,7062.4026,3374.8176
Uttar Pradesh,Banda,152.0,8623.1425,3808.0722
Uttar Pradesh,Barabanki,270.0,12931.2095,8815.5728
Uttar Pradesh,Bareilly,410.0,35703.747,25867.6238
Uttar Pradesh,Basti,176.0,12251.6742,5044.4272
Uttar Pradesh,Bhadohi,135.0,8682.9473,4232.012
Uttar Pradesh,Bijnor,309.0,19080.2466,11511.8059
Uttar Pradesh,Budaun,171.0,8847.3469,7171.831
Uttar Pradesh,Bulandshahr,261.0,20797.9578,10894.6074
Uttar Pradesh,Chandauli,177.0,9839.4866,4893.0841
Uttar Pradesh,Chitrakoot,88.0,4370.9176,2012.1081
Uttar Pradesh,Deoria,254.0,17140.1951,6756.2057
Uttar Pradesh,Etah,125.0,7012.2101,5052.7815
Uttar Pradesh,Etawah,128.0,10276.838,4839.951
Uttar Pradesh,Farrukhabad,134.0,8647.4867,4403.5808
Uttar Pradesh,Fatehpur,199.0,12251.9498,5856.8802
Uttar Pradesh,Firozabad,169.0,12541.1169,8175.7366
Uttar Pradesh,Gautam Buddha Nagar,683.0,241878.7589,133837.6677
Uttar Pradesh,Ghaziabad,517.0,105513.6441,54388.1199
Uttar Pradesh,Ghazipur,297.0,20734.0282,7872.1381
Uttar Pradesh,Gonda,234.0,14252.632,6769.9803
Uttar Pradesh,Gorakhpur,479.0,50084.3336,25751.8536
Uttar Pradesh,Hamirpur,108.0,5071.8208,2720.5246
Uttar Pradesh,Hapur,150.0,10264.0013,6220.6298
Uttar Pradesh,Hardoi,261.0,14123.156,7386.6051
Uttar Pradesh,Hathras,138.0,8106.2917,5230.7914
Uttar Pradesh,Jalaun,137.0,8345.1365,3857.1525
Uttar Pradesh,Jaunpur,357.0,24038.1727,9094.1965
Uttar Pradesh,Jhansi,232.0,25446.7345,12250.2397
Uttar Pradesh,Kannauj,135.0,6661.1856,4222.8129
Uttar Pradesh,Kanpur Dehat,173.0,7646.3331,3685.6773
Uttar Pradesh,Kanpur Nagar,696.0,110054.5688,55849.2714
Uttar Pradesh,Kasganj,90.0,4519.9582,3138.6914
Uttar Pradesh,Kaushambi,137.0,5876.0618,2656.6113
Uttar Pradesh,Kheri,281.0,12687.1259,9634.8675
Uttar Pradesh,Kushi Nagar,233.0,12364.0763,5919.0607
Uttar Pradesh,Lalitpur,103.0,5092.1995,4296.0926
Uttar Pradesh,Lucknow,1112.0,298073.5342,112466.4464
Uttar Pradesh,Mahoba,68.0,4268.4221,2588.9965
Uttar Pradesh,Mahrajganj,176.0,8162.9166,5455.9043
Uttar Pradesh,Mainpuri,131.0,7803.3777,5446.4452
Uttar Pradesh,Mathura,301.0,26507.0854,15190.1098
Uttar Pradesh,Mau,174.0,12558.3922,4686.6896
Uttar Pradesh,Meerut,485.0,54929.661,29621.9332
Uttar Pradesh,Mirzapur,219.0,12878.9694,5673.0312
Uttar Pradesh,Moradabad,337.0,27063.4641,19100.8475
Uttar Pradesh,Muzaffarnagar,292.0,19651.9202,16760.6245
Uttar Pradesh,Pilibhit,156.0,7281.5126,5857.2916
Uttar Pradesh,Pratapgarh,255.0,16516.1754,5651.4994
Uttar Pradesh,Prayagraj,606.0,73448.584,27043.6211
Uttar Pradesh,Rae Bareli,318.0,17284.3325,8893.6857
Uttar Pradesh,Rampur,207.0,8982.6297,6641.1865
Uttar Pradesh,Saharanpur,336.0,23010.1952,16814.021
Uttar Pradesh,Sambhal,169.0,7022.5049,5817.8161
Uttar Pradesh,Sant Kabir Nagar,131.0,6766.5626,2963.0036
Uttar Pradesh,Shahjahanpur,235.0,12497.3127,9576.8288
Uttar Pradesh,Shamli,112.0,6188.4796,4241.0527
Uttar Pradesh,Shrawasti,79.0,3019.8174,1698.1409
Uttar Pradesh,Siddharth Nagar,167.0,8181.7372,3395.2429
Uttar Pradesh,Sitapur,305.0,14133.5465,7799.3041
Uttar Pradesh,Sonbhadra,181.0,12906.4366,5290.5832
Uttar Pradesh,Sultanpur,190.0,12481.021,5042.4957
Uttar Pradesh,Unnao,225.0,16378.7127,4970.2364
Uttar Pradesh,Varanasi,560.0,68989.0936,37251.0268
Uttarakhand,Almora,129.0,7719.121,1997.1963
Uttarakhand,Bageshwar,51.0,2507.3621,546.8625
Uttarakhand,Chamoli,76.0,4401.4666,1091.5424
Uttarakhand,Champawat,62.0,2978.6333,948.3206
Uttarakhand,Dehradun,623.0,123850.3886,38647.957
Uttarakhand,Haridwar,288.0,30774.5214,17127.0876
Uttarakhand,Nainital,248.0,24009.0217,11214.5906
Uttarakhand,Pauri Garhwal,176.0,11359.1513,2833.5127
Uttarakhand,Pithoragarh,95.0,5532.3715,1591.9889
Uttarakhand,Rudra Prayag,47.0,2588.3267,713.979
Uttarakhand,Tehri Garhwal,111.0,6674.4777,1700.6224
Uttarakhand,Udam Singh Nagar,315.0,21223.8721,22451.6027
Uttarakhand,Uttar Kashi,57.0,2391.0555,1229.7746
West Bengal,Alipurduar,132.0,8058.9941,3941.3278
West Bengal,Bankura,283.0,23045.7455,7546.4378
West Bengal,Birbhum,329.0,22437.8978,9798.662
West Bengal,Coochbehar,300.0,12336.3287,10207.0271
West Bengal,Dakshin Dinajpur,140.0,5920.6832,4047.8336
West Bengal,Darjeeling,309.0,27070.5139,20174.7607
West Bengal,Hooghly,602.0,60091.2691,20790.9727
West Bengal,Howrah,559.0,58230.8599,21175.9173
West Bengal,Jalpaiguri,274.0,14783.3514,10174.3925
West Bengal,Jhargram,101.0,5181.0201,2313.9383
West Bengal,Kalimpong,34.0,2017.0792,1217.3782
West Bengal,Kolkata,1647.0,477822.5702,317062.0121
West Bengal,Malda,288.0,16673.2276,9856.9485
West Bengal,Murshidabad,532.0,28248.3024,15568.0267
West Bengal,Nadia,507.0,34935.0091,14734.0042
West Bengal,North 24 Parganas,1116.0,194429.8921,56484.9849
West Bengal,Paschim Bardhaman,400.0,59635.8704,24636.5734
West Bengal,Paschim Medinipur,395.0,34004.1013,16295.4423
West Bengal,Purba Bardhaman,486.0,33957.7805,17878.4949
West Bengal,Purba Medinipur,397.0,31971.12,16283.3722
West Bengal,Purulia,192.0,16096.4656,4308.716
West Bengal,South 24 Parganas,639.0,48635.2596,19287.8137
West Bengal,Uttar Dinajpur,224.0,9701.1351,7740.3694
